id,date,slug,status,url,backlink_rows,ref_domains,gsc_clicks,gsc_impressions,decision,reason
333829,2025-04-23T07:51:58,arthur-hayes-bitcoin-surge-forecast,publish,https://coincu.com/arthur-hayes-bitcoin-surge-forecast,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
333826,2025-04-23T07:21:20,bitcoin-ranks-above-google-financial,publish,https://coincu.com/bitcoin-ranks-above-google-financial,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
333823,2025-04-23T06:51:34,toji-fake-account-warning,publish,https://coincu.com/toji-fake-account-warning,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
333820,2025-04-23T06:21:59,chaincatcher-token-unlocks-2025-market,publish,https://coincu.com/chaincatcher-token-unlocks-2025-market,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
333817,2025-04-23T05:51:08,polymarket-reduces-powell-removal-odds,publish,https://coincu.com/polymarket-reduces-powell-removal-odds,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
333815,2025-04-23T05:22:03,yzi-labs-launches-easy-residence,publish,https://coincu.com/yzi-labs-launches-easy-residence,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
333804,2025-04-23T04:24:42,stellar-toronto-builder-summit,publish,https://coincu.com/stellar-toronto-builder-summit,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
333794,2025-04-23T03:54:44,web3-toronto-builders-week,publish,https://coincu.com/web3-toronto-builders-week,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
333791,2025-04-23T03:50:56,u-s-bitcoin-reserve-speculation,publish,https://coincu.com/u-s-bitcoin-reserve-speculation,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
333788,2025-04-23T03:24:50,solana-startup-village-toronto,publish,https://coincu.com/solana-startup-village-toronto,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
333781,2025-04-23T03:21:35,dgbet-betting-reimagined-for-everyone,publish,https://coincu.com/dgbet-betting-reimagined-for-everyone,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
333778,2025-04-23T03:15:04,when-the-market-is-falling-how-to-earn-high-returns-safely-and-smartly-through-these-9-cryptocurrency-staking-platforms-learn-staking-from-trump,publish,https://coincu.com/when-the-market-is-falling-how-to-earn-high-returns-safely-and-smartly-through-these-9-cryptocurrency-staking-platforms-learn-staking-from-trump,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
