issue_type,post_id,post_type,post_status,post_name,match_count,find_url,replace_url,live_rest_status,remaining_live_count,live_state,found_in_local_export,has_utm_source_openai,utm_source_openai_url_count,sample_openai_url,has_raw_format_issue,is_severe_raw_format_like,scan_flags,delete_http_status,deleted,delete_note
c_news,398783,post,publish,bitcoin-steadies-as-boyaa-clears-100m-crypto-mandate,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,broken_url_interrupted_by_anchor|raw_url_in_parentheses|raw_url_after_colon|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,398771,post,publish,oil-markets-focus-as-iran-answers-trump-on-hormuz,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,398708,post,publish,twitter-sees-legal-risk-as-jury-finds-musk-liable,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,broken_url_interrupted_by_anchor|raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,398699,post,publish,f-35-faces-probe-as-centcom-reviews-irgc-hit-claim,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,398650,post,publish,oil-steadies-as-trump-says-no-ceasefire-hormuz-risk,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,398373,post,publish,bitcoin-steadies-as-senate-mulls-market-structure-bill,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,broken_url_interrupted_by_anchor|raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,398301,post,publish,prediction-markets-face-curbs-in-democrats-insider-use-ban,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,broken_url_interrupted_by_anchor|raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,398227,post,publish,panews-sees-skills-claims-unverified-amid-no-official-post,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,398184,post,publish,meta-platforms-faces-scrutiny-amid-27b-rumor-3b-pact,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,398148,post,publish,bitcoin-holds-as-sec-filing-shows-mstr-buys-22300-btc,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,398136,post,publish,prediction-markets-draw-record-flows-on-u-s-iran-bets,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,398031,post,publish,ether-eyes-scarcity-debate-after-wintermute-ceo-meme-claim,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,397824,post,publish,polymarket-odds-price-in-iran-regime-fall-by-june-30-2026,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,397794,post,publish,global-markets-steady-as-us-china-talks-un-report-eyed,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,broken_url_interrupted_by_anchor|raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,397747,post,publish,u-s-fuel-prices-face-shifts-as-jones-act-waiver-weighed,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,397644,post,publish,revolut-seeks-full-uk-banking-licence-amid-pra-review,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,397499,post,publish,fed-funds-futures-steady-as-march-2026-hold-odds-at-97,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,397334,post,publish,iran-confirms-2026-succession-outcome-as-experts-vote,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,broken_url_interrupted_by_anchor|raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,397136,post,publish,bitcoin-holds-as-us-iran-risk-fuels-qe-rate-cut-talk,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,broken_url_interrupted_by_anchor|raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,397085,post,publish,qatar-raises-security-level-after-mar-5-doha-strike,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,396945,post,publish,prediction-markets-face-rules-as-cftc-begins-rulemaking,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,396939,post,publish,anthropic-faces-u-s-phase-out-as-dod-flags-supply-risk,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,396851,post,publish,stablecoins-draw-focus-after-reported-trump-armstrong-talks,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,396413,post,publish,bitcoin-steadies-as-iran-denies-khamenei-death-reports,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,broken_url_interrupted_by_anchor|raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,396373,post,publish,npt-faces-strain-as-iaea-reviews-enrichment-breakout-time,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link,200,True,publish
c_news,238569,post,publish,how-to-get-goerli-eth-token,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|raw_url_after_colon|dirty_internal_link,200,True,publish
